time,C,D,E,I,R,S,Y
0.0,0.0,30.0,900.0,378.0,100.0,258340.0,252.0
1.0,108.0,31.0,1131.0,388.0,178.0,257952.0,212.0
2.0,220.0,31.0,1362.0,425.0,244.0,257531.0,187.0
3.0,344.0,31.0,1595.0,471.0,303.0,257076.0,180.0
4.0,488.0,31.0,1884.0,530.0,359.0,256520.0,188.0
5.0,664.0,32.0,2111.0,612.0,419.0,255960.0,202.0
6.0,846.0,32.0,2420.0,745.0,479.0,255269.0,209.0
7.0,1066.0,36.0,2859.0,852.0,553.0,254407.0,227.0
8.0,1336.0,39.0,3311.0,996.0,624.0,253442.0,252.0
9.0,1680.0,40.0,3845.0,1087.0,714.0,252371.0,263.0
10.0,2031.0,40.0,4366.0,1278.0,807.0,251157.0,321.0
11.0,2439.0,41.0,5028.0,1458.0,904.0,249771.0,359.0
12.0,2903.0,46.0,5738.0,1674.0,1024.0,248215.0,400.0
13.0,3429.0,48.0,6548.0,1894.0,1154.0,246441.0,486.0
14.0,4025.0,50.0,7436.0,2141.0,1310.0,244498.0,540.0
15.0,4759.0,52.0,8392.0,2418.0,1494.0,242276.0,609.0
16.0,5542.0,53.0,9432.0,2747.0,1704.0,239838.0,684.0
17.0,6426.0,58.0,10570.0,3142.0,1909.0,237103.0,792.0
18.0,7432.0,61.0,11974.0,3546.0,2136.0,233944.0,907.0
19.0,8569.0,67.0,13480.0,4007.0,2427.0,230454.0,996.0
20.0,9809.0,70.0,15113.0,4556.0,2746.0,226571.0,1135.0
21.0,11211.0,75.0,17016.0,5154.0,3117.0,222190.0,1237.0
22.0,12915.0,81.0,18943.0,5730.0,3526.0,217343.0,1462.0
23.0,14699.0,92.0,21001.0,6400.0,3980.0,212158.0,1670.0
24.0,16738.0,102.0,23062.0,7260.0,4519.0,206446.0,1873.0
25.0,19028.0,112.0,25442.0,8055.0,5131.0,200192.0,2040.0
26.0,21560.0,120.0,27721.0,8887.0,5761.0,193656.0,2295.0
27.0,24310.0,136.0,30318.0,9849.0,6480.0,186443.0,2464.0
28.0,27425.0,154.0,32798.0,10610.0,7236.0,179100.0,2677.0
29.0,30679.0,171.0,35176.0,11604.0,8072.0,171309.0,2989.0
30.0,34389.0,187.0,37391.0,12589.0,8977.0,163254.0,3213.0
31.0,38435.0,199.0,39456.0,13494.0,9988.0,155016.0,3412.0
32.0,42601.0,216.0,41454.0,14685.0,11068.0,146354.0,3622.0
33.0,47216.0,226.0,43197.0,15460.0,12189.0,137900.0,3812.0
34.0,51935.0,241.0,44660.0,16275.0,13395.0,129500.0,3994.0
35.0,56833.0,261.0,46049.0,16913.0,14625.0,121114.0,4205.0
36.0,62142.0,288.0,46738.0,17432.0,15961.0,113126.0,4313.0
37.0,67557.0,309.0,46971.0,18087.0,17200.0,105363.0,4513.0
38.0,72983.0,334.0,46913.0,18682.0,18538.0,97960.0,4590.0
