time,C,D,E,I,R,S,Y
0.0,0.0,3.0,60.0,30.0,101.0,124783.0,23.0
1.0,9.0,3.0,76.0,31.0,104.0,124757.0,20.0
2.0,19.0,3.0,94.0,28.0,110.0,124730.0,16.0
3.0,29.0,3.0,99.0,28.0,114.0,124707.0,20.0
4.0,43.0,3.0,104.0,27.0,119.0,124683.0,21.0
5.0,52.0,4.0,120.0,30.0,126.0,124649.0,19.0
6.0,59.0,4.0,134.0,37.0,128.0,124620.0,18.0
7.0,69.0,4.0,139.0,45.0,137.0,124589.0,17.0
8.0,77.0,5.0,171.0,58.0,142.0,124531.0,16.0
9.0,97.0,5.0,213.0,60.0,146.0,124464.0,15.0
10.0,114.0,5.0,244.0,77.0,149.0,124388.0,23.0
11.0,145.0,5.0,285.0,81.0,156.0,124301.0,27.0
12.0,176.0,5.0,335.0,80.0,161.0,124215.0,28.0
13.0,203.0,5.0,379.0,108.0,171.0,124105.0,29.0
14.0,237.0,5.0,433.0,132.0,183.0,123983.0,27.0
15.0,284.0,6.0,510.0,126.0,193.0,123843.0,38.0
16.0,340.0,8.0,530.0,144.0,202.0,123727.0,49.0
17.0,384.0,8.0,579.0,173.0,221.0,123586.0,49.0
18.0,436.0,9.0,670.0,207.0,233.0,123389.0,56.0
19.0,506.0,10.0,739.0,235.0,253.0,123202.0,55.0
20.0,574.0,10.0,885.0,277.0,266.0,122925.0,63.0
21.0,664.0,10.0,1016.0,303.0,286.0,122641.0,80.0
22.0,757.0,10.0,1182.0,357.0,314.0,122297.0,83.0
23.0,859.0,11.0,1382.0,408.0,345.0,121899.0,96.0
24.0,980.0,11.0,1548.0,487.0,374.0,121490.0,110.0
25.0,1128.0,11.0,1762.0,533.0,406.0,121028.0,132.0
26.0,1305.0,11.0,2025.0,601.0,461.0,120461.0,136.0
27.0,1475.0,11.0,2292.0,699.0,521.0,119846.0,156.0
28.0,1698.0,11.0,2553.0,793.0,564.0,119200.0,181.0
29.0,1969.0,12.0,2931.0,844.0,619.0,118415.0,210.0
30.0,2229.0,14.0,3275.0,957.0,677.0,117608.0,240.0
31.0,2527.0,16.0,3689.0,1115.0,744.0,116643.0,266.0
32.0,2890.0,17.0,4150.0,1253.0,822.0,115557.0,311.0
33.0,3307.0,17.0,4605.0,1439.0,915.0,114341.0,376.0
34.0,3755.0,18.0,5230.0,1619.0,1020.0,112932.0,426.0
35.0,4280.0,21.0,5867.0,1822.0,1166.0,111394.0,450.0
36.0,4828.0,22.0,6583.0,2108.0,1313.0,109647.0,499.0
37.0,5519.0,26.0,7394.0,2324.0,1489.0,107683.0,565.0
38.0,6267.0,29.0,8177.0,2628.0,1646.0,105584.0,669.0
39.0,7082.0,31.0,9177.0,2963.0,1871.0,103162.0,714.0
40.0,8032.0,36.0,10146.0,3272.0,2092.0,100596.0,826.0
41.0,9061.0,40.0,11251.0,3566.0,2340.0,97841.0,901.0
42.0,10238.0,46.0,12235.0,3890.0,2615.0,94993.0,983.0
43.0,11466.0,49.0,13209.0,4293.0,2912.0,91974.0,1097.0
44.0,12823.0,55.0,14278.0,4696.0,3251.0,88688.0,1209.0
45.0,14337.0,60.0,15347.0,5124.0,3604.0,85178.0,1350.0
46.0,15914.0,60.0,16537.0,5527.0,4032.0,81488.0,1442.0
47.0,17639.0,63.0,17306.0,6059.0,4480.0,77910.0,1543.0
48.0,19541.0,67.0,18277.0,6412.0,4934.0,74134.0,1635.0
49.0,21493.0,72.0,19100.0,6813.0,5429.0,70328.0,1765.0
50.0,23581.0,76.0,19790.0,7290.0,5954.0,66426.0,1883.0
51.0,25841.0,85.0,20278.0,7697.0,6526.0,62615.0,1958.0
52.0,28304.0,94.0,20659.0,7925.0,7110.0,58882.0,2026.0
